year,period,fedEffectiveInterest,fedEffIntBehaviour,unempSeas,cpi,cpiEnergy,cpiExclEnergy,balanceGoods,balanceServices,vixVolatility,ecbRate,potus,houseOfRep,fedChair,oilPrice,USDCNY,EURUSD,S&P500,debt,gdpOCDEgr,gdpgr
2000,M01,5.45,UP,4.0,169.3,115.0,176.6,2.356115107913669,0.5580357142857143,23.201999999999998,2.0,D,R,R,25.51,8.2777,0.9695,1394.459961,-0.01558875614196992,0.253570591,-0.648702595
2000,M02,5.73,UP,4.1,170.0,118.8,176.8,7.880930027061358,0.19096117122851686,23.5955,2.25,D,R,R,27.78,8.2786,0.9647,1366.420044,-0.5074880160831471,0.253570591,0.6529382220000001
2000,M03,5.85,UP,4.0,171.0,124.3,177.3,2.979156620050367,-1.814646791963707,22.71826087,2.25,D,R,R,27.49,8.2787,0.9562,1498.579956,-0.510076611255671,0.253570591,0.898203593
2000,M04,6.02,UP,3.8,170.9,120.9,177.6,-4.639623223346696,10.173191675156454,27.16421053,2.5,D,R,R,22.76,8.2799,0.9123,1452.430054,-0.5126917141903348,0.31262183,1.384767557
2000,M05,6.27,UP,4.0,171.2,120.0,178.1,0.5908090181980324,-13.196046128500823,26.37318182,2.75,D,R,R,27.74,8.2773,0.9379,1420.599976,-0.06898370913792624,0.31262183,0.097560976
2000,M06,6.53,UP,4.0,172.2,126.8,178.4,3.7085737286998524,3.6354976980473093,21.54,3.25,D,R,R,29.8,8.2782,0.9526,1454.599976,-0.06903131188578322,0.31262183,0.5847953220000001
2000,M07,6.54,UP,4.0,172.7,127.3,178.9,0.6981639885948784,-3.245369611539092,19.893,3.25,D,R,R,28.68,8.2792,0.9263,1430.829956,-0.06907901566024556,0.14490652199999998,-0.484496124
2000,M08,6.5,DOWN,4.1,172.7,123.8,179.3,-4.134639398396093,-1.6494501832722426,18.08869565,3.25,D,R,R,30.2,8.2786,0.8888,1517.680054,-0.07032685082057998,0.14490652199999998,1.071080818
2000,M09,6.52,UP,3.9,173.6,129.2,179.7,8.04072675308768,-16.09284332688588,19.6875,3.5,D,R,R,33.14,8.2798,0.8839,1436.51001,-0.07037632662629932,0.14490652199999998,0.385356455
2000,M10,6.51,DOWN,3.9,173.9,129.6,179.9,0.8450989322402712,17.923479917447214,25.2,3.75,D,R,R,30.96,8.2775,0.8493,1429.400024,-0.0704259074539079,0.158537346,0.5758157389999999
2000,M11,6.51,SAME,3.9,174.2,129.2,180.3,-1.7166387852271265,-0.8162612035851472,26.38285714,3.75,D,R,R,32.55,8.2777,0.8724,1314.949951,0.6522568669532539,0.158537346,0.0
2000,M12,6.4,DOWN,3.9,174.6,130.1,180.7,2.699521698845566,3.565365025466893,26.5305,3.75,D,R,R,25.66,8.2774,0.9424,1320.280029,0.6480300291561113,0.158537346,-0.190839695
